Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
4257,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7950881676, -122.405107799)"
4272,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7947166287, -122.405630852)"
4308,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7946850221, -122.405350673)"
4312,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7945126944, -122.405315975)"
4343,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7949247627, -122.405119958)"
4364,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7951370103, -122.405395515)"
4367,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7951939665, -122.405339986)"
4381,148268,Trash Can,Perennial Bed Trash Cans,Trash Can,,9,11950,81,11810,,"(37.7698431663, -122.439592596)"
4587,149363,Trash Can,Haight St Entrance Trash Can,Trash Can,,2,93234,756665,12855,,"(37.7692502769, -122.45379647)"
4588,149380,Trash Can,Sharon Art Studio Trash Can,Trash Can,,1,97407,756665,176,,"(37.7683847744, -122.45818014)"
5560,980561,CPA Trash Can,CPA Trash Can,Trash Can,,1,491,95,442,,"(37.7729305969, -122.498327777)"
5573,980560,Plastic Totter - 64gal,Concrete Path Plastic Totters,Trash Can,64 gallon,3,12462,95,12460,,"(37.772972327, -122.499040295)"
5574,980560,Plastic Totter - 64gal,Concrete Path Plastic Totters,Trash Can,64 gallon,3,12462,95,12460,,"(37.7729725974, -122.499031365)"
5575,980560,Plastic Totter - 64gal,Concrete Path Plastic Totters,Trash Can,64 gallon,3,12462,95,12460,,"(37.7729730913, -122.499023343)"
6369,152284,Trash Receptacle,Softball Field Trash Can,Trash Can,,1,49,30,29,,"(37.7291887967, -122.41020738)"
6381,152284,Trash Can,Softball Field Trash Can,Trash Can,,1,49,30,29,,"(37.72918464, -122.40877192)"
6382,980351,Trash Can,Joe Gaggero Sr. Field Trash Cans,Trash Can,,2,50,30,29,,"(37.7299568101, -122.409091224)"
6383,980351,Trash Can,Joe Gaggero Sr. Field Trash Cans,Trash Can,,2,50,30,29,,"(37.730036342, -122.40929667)"
8943,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7569199634, -122.486580576)"
8944,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7569737592, -122.487073031)"
8946,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7565148422, -122.486900086)"
