Map Label,Asset Name,Quantity,Lat,Lng
Trash Can,Tennis Court 1 Trash Cans,1,37.7660927944,-122.438238814
Trash Can,Brick Hardscape Area Trash Cans,4,37.7961080957,-122.396386463
Trash Can,Brick Hardscape Area Trash Cans,4,37.7961352466,-122.396362581
Trash Can,Brick Hardscape Area Trash Cans,4,37.7961652924,-122.396337787
Trash Can,Brick Hardscape Area Trash Cans,4,37.796194342,-122.396312624
Trash Can,Turf Trash Cans,3,37.7962059399,-122.396623946
Trash Can,Turf Trash Cans,3,37.796321052,-122.39616086
Trash Can,Concrete Pathway Trash Cans,7,37.7957731369,-122.397709291
Trash Can,Concrete Pathway Trash Cans,7,37.7957645165,-122.397706572
Trash Can,Concrete Pathway Trash Cans,7,37.7956611684,-122.397861684
Trash Can,Concrete Pathway Trash Cans,7,37.7957783995,-122.397648564
Trash Can,Multi-Use Paved Area Trash Can,2,37.7935241409,-122.406949805
Trash Can,Multi-Use Paved Area Trash Can,2,37.7936227593,-122.407095486
Trash Can,Parking Lot Trash Can,2,37.736032788,-122.478563427
Trash Can,Parking Lot Trash Can,2,37.7359959601,-122.478357321
Trash Can,Turf Trash Cans,3,37.7472280389,-122.411091814
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8015011698,-122.433859121
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8012501521,-122.434265827
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8012393427,-122.43426194
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8012218618,-122.434176384
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8012003949,-122.434508295
Trash Can,Tennis Court 2 Trash Can (30),1,37.8018116854,-122.434049377
Trash Can,Tennis Court 1 Sunset Trash Can (50),1,37.8019230963,-122.434457745
Trash Can,Basketball Court 1 Trash Can (30),1,37.8021701734,-122.434502538
Trash Can,Basketball Court 1 Trash Can (50),1,37.8021586291,-122.434499498
Trash Can,Asphalt Pathway 30 Gallon Trash Can,3,37.8022086562,-122.434295792
Trash Can,Asphalt Pathway 30 Gallon Trash Can,3,37.802399962,-122.434366769
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8022543479,-122.431754226
Trash Can,24th & York Trash Cans,2,37.7530637691,-122.408605725
Trash Can,24th & York Trash Cans,2,37.7529343352,-122.408528814
Trash Can,Shrubbery Trash Cans,2,37.7101856977,-122.397973707
Trash Can,Shrubbery Trash Cans,2,37.7101794485,-122.397975226
Trash Can,Concrete Pathway Trash Cans,1,37.7100750036,-122.39805539
